order_id,first_name,last_name,status
1,Tammy,Meza,Shipped
8,Veronica,Jackson,Shipped
10,Veronica,Jackson,Shipped
20,Brooke,Moore,Shipped
29,Vanessa,Ramsey,Shipped
30,Vanessa,Ramsey,Shipped
31,Vanessa,Ramsey,Shipped
37,Patricia,Black,Shipped
67,Kathy,Matthews,Shipped
69,Courtney,Cross,Shipped
117,Gail,Holland,Shipped
123,Lori,Russell,Shipped
125,Lori,Russell,Shipped
128,Lindsey,Smith,Shipped
135,Mckenzie,Forbes,Shipped
158,Amber,Chavez,Shipped
162,Christine,Davis,Shipped
177,Maria,Delgado,Shipped
189,Gina,Ross,Shipped
236,Felicia,Lee,Shipped
242,Teresa,Carlson,Shipped
246,Erin,George,Shipped
250,Erin,Schultz,Shipped
251,Erin,Schultz,Shipped
273,Anita,Downs,Shipped
274,Anita,Downs,Shipped
300,Kelly,Mullins,Shipped
302,Barbara,Ewing,Shipped
312,Shari,Wilson,Shipped
314,Julie,Brown,Shipped
351,Michele,Mooney,Shipped
355,Diane,Le,Shipped
376,Danielle,Torres,Shipped
384,Mercedes,Brown,Shipped
396,Carla,Perry,Shipped
408,Linda,Turner,Shipped
410,Emily,Schneider,Shipped
417,Susan,Valencia,Shipped
423,Heidi,Lyons,Shipped
425,Amber,Walters,Shipped
426,Kara,Carter,Shipped
453,Anna,Kim,Shipped
462,Candice,Rodriguez,Shipped
463,Candice,Rodriguez,Shipped
475,Bonnie,Mckenzie,Shipped
483,Vicki,Chandler,Shipped
495,Danielle,Gutierrez,Shipped
503,Teresa,Johnson,Shipped
514,Kathleen,Davis,Shipped
555,Brenda,Baker,Shipped
558,Donna,Tran,Shipped
561,Alice,Lawrence,Shipped
585,Julia,Thornton,Shipped
589,Deborah,Robinson,Shipped
599,Andrea,Cooper,Shipped
603,Heidi,Tucker,Shipped
607,Deborah,Porter,Shipped
620,Yvonne,Anderson,Shipped
624,Krystal,Zuniga,Shipped
650,Natalie,Bradley,Shipped
656,Tammy,Sanders,Shipped
665,Heidi,Turner,Shipped
688,Samantha,Christensen,Shipped
693,Joan,White,Shipped
698,Misty,Wagner,Shipped
707,Jenna,Duke,Shipped
711,Vanessa,Vance,Shipped
723,Patricia,Smith,Shipped
725,Lori,Baird,Shipped
742,Melinda,Aguilar,Shipped
760,Yolanda,Thomas,Shipped
766,Lauren,Ramsey,Shipped
769,Brenda,Kidd,Shipped
778,Tiffany,Little,Shipped
779,Tiffany,Little,Shipped
802,Sara,Watson,Shipped
808,Amber,Collins,Shipped
814,Samantha,Le,Shipped
826,Tiffany,Warren,Shipped
832,Jasmine,Rodriguez,Shipped
839,Alexis,Dickerson,Shipped
844,Sheri,Sanchez,Shipped
867,Beth,Davis,Shipped
870,Brianna,Mclean,Shipped
881,Kelly,Reyes,Shipped
882,Kelly,Reyes,Shipped
891,Susan,Holland,Shipped
914,Tammy,Smith,Shipped
915,Tammy,Smith,Shipped
922,Courtney,Nelson,Shipped
923,Courtney,Nelson,Shipped
925,Courtney,Nelson,Shipped
954,Megan,Jones,Shipped
964,Rebecca,Jordan,Shipped
967,Debra,Coleman,Shipped
969,Debra,Coleman,Shipped
973,Megan,Bowman,Shipped
974,Megan,Bowman,Shipped
975,Stacey,Washington,Shipped
985,Valerie,Reynolds,Shipped
997,Bonnie,Johnson,Shipped
1006,Jamie,Sandoval,Shipped
1014,Gabriela,Fox,Shipped
1016,Gabriela,Fox,Shipped
1023,Whitney,Baker,Shipped
1025,Whitney,Baker,Shipped
1026,Whitney,Baker,Shipped
1029,Susan,Liu,Shipped
1031,Susan,Liu,Shipped
1037,Deborah,Flowers,Shipped
1043,Victoria,Pearson,Shipped
1072,Christine,Johnson,Shipped
1074,Chloe,Gonzales,Shipped
1083,Ann,Hill,Shipped
1084,Ann,Hill,Shipped
1092,Sheila,Velasquez,Shipped
1105,Destiny,Flores,Shipped
1118,Alicia,Brown,Shipped
1123,Alicia,Abbott,Shipped
1127,Taylor,Lopez,Shipped
1134,Deanna,Franklin,Shipped
1140,Sandra,Robinson,Shipped
1142,Debra,Wolf,Shipped
1143,Debra,Wolf,Shipped
1150,Jasmine,Savage,Shipped
1188,Alejandra,Glenn,Shipped
1210,Anne,Williams,Shipped
1215,Sydney,Mclaughlin,Shipped
1226,Meredith,Lee,Shipped
1236,Peggy,Wolfe,Shipped
1240,Abigail,Gonzalez,Shipped
1241,Sheryl,Smith,Shipped
1256,Julia,Hall,Shipped
1267,Kelly,Gonzales,Shipped
1292,Jacqueline,Roberts,Shipped
1295,Jacqueline,Roberts,Shipped
1296,Lauren,Vincent,Shipped
1313,Victoria,Baker,Shipped
1344,Emily,Anderson,Shipped
1345,Emily,Anderson,Shipped
1359,Debra,Martin,Shipped
1366,Jamie,Williamson,Shipped
1374,Tonya,Griffith,Shipped
1375,Anne,Washington,Shipped
1377,Tasha,Weaver,Shipped
1378,Samantha,Hammond,Shipped
1385,Autumn,Harris,Shipped
1404,Brittany,Lopez,Shipped
1408,Mercedes,Kemp,Shipped
1410,Haley,Gray,Shipped
1439,Linda,Joseph,Shipped
1440,Linda,Joseph,Shipped
1448,Susan,Holt,Shipped
1451,Dawn,Brown,Shipped
1457,Anne,Giles,Shipped
1480,Hannah,Martin,Shipped
1493,Ruth,Carson,Shipped
1505,Sharon,Campbell,Shipped
1508,Hannah,Wilson,Shipped
1509,Taylor,Brown,Shipped
1515,Brittany,Wood,Shipped
1516,Brittany,Wood,Shipped
1520,Kristie,Hernandez,Shipped
1532,Tiffany,Jackson,Shipped
1550,Megan,Bradley,Shipped
1568,Alexis,Allen,Shipped
1569,Alexis,Allen,Shipped
1579,Robin,Bradley,Shipped
1582,Robin,Ward,Shipped
1584,Patricia,King,Shipped
1588,Dana,Santiago,Shipped
1591,Katherine,Boone,Shipped
1606,Pamela,Jackson,Shipped
1612,Julie,Williams,Shipped
1613,Julie,Williams,Shipped
1620,Dana,Dawson,Shipped
1621,Dana,Dawson,Shipped
1626,Lori,Mcclain,Shipped
1634,Dana,Mullins,Shipped
1646,Victoria,Lopez,Shipped
1657,Morgan,Rhodes,Shipped
1669,Patricia,Pruitt,Shipped
1672,Katherine,Hicks,Shipped
1680,Terry,Hoffman,Shipped
1688,Desiree,Gallegos,Shipped
1696,Sherri,Miller,Shipped
1704,Sally,Thompson,Shipped
1705,Sally,Thompson,Shipped
1739,Kristen,Rodriguez,Shipped
1741,Kristin,Juarez,Shipped
1748,Tracey,Garcia,Shipped
1749,Shelby,Wells,Shipped
1771,Brittany,Short,Shipped
1775,Robin,Martinez,Shipped
1789,Christina,Simpson,Shipped
1799,Emily,Taylor,Shipped
1800,Emily,Taylor,Shipped
1805,Marie,Tucker,Shipped
1815,Cindy,Robinson,Shipped
1822,Donna,Wheeler,Shipped
1833,Cynthia,Hansen,Shipped
1834,Cynthia,Hansen,Shipped
1845,Jacqueline,Scott,Shipped
1848,Jacqueline,Scott,Shipped
1870,Patricia,Mitchell,Shipped
1907,April,Allison,Shipped
1908,Danielle,Walker,Shipped
1931,Bianca,Blackburn,Shipped
1939,Heidi,Gentry,Shipped
1963,Patricia,Hines,Shipped
1982,Miranda,Morris,Shipped
1990,Maria,Collins,Shipped
1991,Maria,Collins,Shipped
2003,Sara,Freeman,Shipped
2004,Sara,Freeman,Shipped
2005,Janet,Drake,Shipped
2026,Diane,Jones,Shipped
2037,Crystal,Crane,Shipped
2048,Natalie,Hines,Shipped
2055,Jenny,Alvarado,Shipped
2063,Barbara,Henry,Shipped
2066,Rebecca,Stevens,Shipped
2067,Diane,Summers,Shipped
2068,Diane,Summers,Shipped
2076,Tracy,Ellison,Shipped
2077,Tracy,Ellison,Shipped
2087,Linda,Palmer,Shipped
2089,Janet,West,Shipped
2090,Tracy,Spencer,Shipped
2095,Melanie,Haas,Shipped
2107,Megan,Barry,Shipped
2109,Kelly,Mendez,Shipped
2128,Jacqueline,Lopez,Shipped
2135,Crystal,Huerta,Shipped
2140,Danielle,Johnson,Shipped
2164,Shannon,Coleman,Shipped
2171,Beth,Ortega,Shipped
2192,Victoria,Calhoun,Shipped
2220,Nancy,Warren,Shipped
2224,Patricia,Gates,Shipped
2229,Sara,Knox,Shipped
2249,Beverly,Martinez,Shipped
2254,Carol,Smith,Shipped
2265,Sylvia,Miller,Shipped
2292,Deborah,Jackson,Shipped
2304,Valerie,Frederick,Shipped
2311,Lori,Ruiz,Shipped
2317,Brittany,Sanchez,Shipped
